1. Project name,2. Geography,3. UN Goal,4. Type of giving,5. Total Budget,6. Amount funded,7. Amount still to be funded,8. Distribution type,9. Start date,10. End date,11. Our contribution to this project,12. Funding status,13. Partnerships sponsor(s),14. Partnerships project manager,15. Partnerships consultant,16. Results objectives (KPI),17. Latest review SWOT Strength,18. Latest review SWOT Weaknesses,19. Latest review SWOT Opportunity,20. Latest review SWOT Threat,21. Latest review comments,22. Satisfaction Ranking overall,23. Satisfaction Ranking overall Strat,24. Satisfaction Ranking overall partners,25. Satisfaction Ranking overall organisation & processes,26. Satisfaction Ranking overall communication,27. Satisfaction comments,28. Other comments,29. Author,30. Date of last update,31. Contact details,32. Description,Date Choice,Date Choice end
Launching OPX [x],"Continent: Global, Country: Multiple, City: Multiple",GOAL 17. Partnerships to achieve the Goal,Traditional Philanthropy,€861.79K [x],€1M [x],€0 (since amount funded exceeds total budget) [x],Per project,March 2022 [x],March 2025,75%,Open,Oslo Philanthropy Exchange Foundation [x],John Doe,Global Philanthropy Consulting Inc.,Enhance global partnerships for sustainable development,Strong network of global partners,Coordination across diverse geographies,Expansion into new countries and sectors,Political instability in some participating countries,"Progressing well, but requires more streamlined communication",8/10,7/10,9/10,8/10,6/10,"Partners are satisfied, though some improvements in communication needed",Additional funds might be necessary for unexpected expansions,Emily Thompson,2024-06-25,emily.thompson@globalphilanthropy.com,The IKEA Foundation and the Oslo Philanthropy Exchange Foundation (OPX) are enabling innovation and efficiency in philanthropic funding. This will help global financing to work as efficiently as possible to benefit people living in poor communities and those affected by displacement.,2022-03-01,2023-09-01
Global Alliance for the Future of Food [x],"Continent: Global, Country: Multiple, City: Multiple",GOAL 2. Zero Hunger,Corporate Social Responsibility (CSR),"$2,080,800 USD [x]","$778,700 USD [x]","$1,302,100 USD [x]",Scheduled,March 2022 [x],March 2027,15%,Open,IKEA Foundation [x],John Smith,Global Food Solutions Ltd.,Increase food sustainability in 10 countries by 20%,Strong global network,Dependency on limited funding sources,Expansion into new markets,Political instability in target countries,Progress is on track but requires more aggressive funding strategies,8/10,7/10,9/10,,7/10,Partners are satisfied with the initiative but suggest more regular updates,Need to focus more on local partnerships for better implementation,Emily Johnson,"June 10, 2024",globalalliance@futureoffood.org,"The IKEA Foundation is part of the Global Alliance for the Future of Food, a strategic alliance of philanthropies who are working together to transform global food systems so that they are equitable, sustainable and healthy for both people and planet.",2022-03-01,2026-05-01
[x] Donation: Emergency response to the people of ...,"Continent - Europe, Country - not specified, City - not specified. Generated plausible location: Germany, Berlin.",GOAL 16. Peace and Justice Strong Institutions,1. Traditional Philanthropy,[x] $22.6 million (20M€ converted to USD),[x] $22.6 million (20M€ converted to USD),[x] $0 (Fully funded),Per project,[x] March 2022,Generated plausible end date: March 2024,Generated plausible percentage: 15%,Open,"[x] UNHCR, the UN Refugee Agency (100%)",Generated plausible manager's name: Sarah Müller,Generated plausible consultant's name/company: Global Aid Consulting,Increase in the number of individuals receiving legal aid and protection.,Strong partnership with UNHCR ensuring effective distribution of aid.,Limited reach due to geographical constraints.,Expansion of project to include more areas in need within Europe.,Potential political resistance or regulatory changes affecting aid distribution.,"""Project is on track with significant impact in providing emergency response. Consider expanding geographic scope.""",8/10,7/10,9/10,8/10,7/10,"""Overall satisfaction is high among all partners, though improvements can be made in communication strategies.""","""Future considerations should include contingency planning for unexpected geopolitical changes impacting project execution.""",Generated plausible author's name: Emily Clarkson,Generated plausible date: 2024-06-01,Generated plausible email address: project.manager@ikeafoundation.org,"The IKEA Foundation provided an exceptional donation to the emergency response by UNHCR, the UN Refugee Agency, to both help people who have been forcibly displaced by the conflict in Ukraine and the surrounding countries.",2022-03-01,2026-09-01
Donation: Emergency Fund Ukraine [x],"Continent: Europe, Country: Ukraine, City: Kyiv",GOAL 3. Good Health and Well-being,Traditional Philanthropy,"$5,000,000 USD [x]","$5,000,000 USD [x]",$0 USD [x],Per project,"March 1, 2022 [x]","March 1, 2023",90%,Closed,Médecins Sans Frontières (MSF) [x],Anna Petrov,Strategic Health Consulting LLC,Improvement in emergency health services and response time in Ukraine,Strong partnership with experienced health organization,Limited scalability beyond initial funding,Potential for model replication in other crisis regions,Political instability could affect project execution,Project has shown significant impact in improving emergency health response in Ukraine,8.5/10,9/10,8/10,8.5/10,7.5/10,High satisfaction with MSF's execution but some communication delays noted,Consider additional funding to expand the project scope,Michael Thompson,"June 20, 2024",info@strategichealthconsulting.com,The IKEA Foundation provided an exceptional donation to the Médicins Sans Frontières emergency fund for their operations to help people in Ukraine and surrounding countries.,2022-03-01,2024-03-01
Piloting work on a just transition in India [x],"Continent: Asia, Country: India, City: Mumbai",GOAL 13. Climate Action,,$3.5 million USD [x],$1.9 million USD [x],$1.6 million USD [x],Scheduled,February 2022 [x],February 2025,35%,Open,American Friends of Edelgive Foundation (100%) [x],Anjali Sharma,Green Transition Consulting,"Reduction of carbon emissions by 30% in the target area, engagement of 5000+ workers in transition training programs.",Strong partnership and community support.,,Expansion to other cities and sectors.,Economic instability affecting project continuation.,The project is progressing well but requires more funds to reach its full potential.,4 out of 5,4 out of 5,5 out of 5,3 out of 5,4 out of 5,"Partners are highly satisfied with the collaboration, though some improvement needed in organizational efficiency.","Overall, the project has made significant strides but needs more structured processes.",Dr. Rajiv Gupta,2024-06-25,info@justtransitionindia.org,"The American Friends of EdelGive’s Just Transition India Programme helps countries move to a net-zero emissions economy in a way that is fair for everyone. The IKEA Foundation is supporting The American Friends of EdelGive because we believe that improving people’s livelihoods and protecting the planet go hand in hand, so that no one is left behind in the transition to net zero.",2022-02-01,2026-01-01
Sustainable Market Inclusive Livelihood Pathways [x],"Continent - Africa, Country - Uganda, City - Kampala",GOAL 8. Decent Work and Economic Growth,Corporate Social Responsibility (CSR),"$1,125,000 USD [x]","$1,125,000 USD [x]",$0 USD [x],Per project,February 2022 [x],February 2024,75%,Open,AVSI Foundation (100%) [x],Michael Odera,Global Development Experts Inc.,Increase employment rates by 25% in targeted communities,Strong local community engagement,Limited access to technology in rural areas,Expansion into neighboring regions,Political instability affecting project continuity,The project is progressing well with significant community support.,8/10,8/10,9/10,7/10,8/10,Partners express high satisfaction with project management and outcomes.,Continued monitoring needed to ensure long-term sustainability.,Dr. Linda Kimani,2023-12-15,info@avsi-foundation.org,AVSI Foundation and the IKEA Foundation are working in partnership to plan and design an integrated five-year rural refugee livelihood anchor programme in Uganda. The programme will build evidence and contribute towards refugees and host communities achieving economic self-reliance and sustainable livelihoods.,2022-02-01,2023-05-01
[x] Donation: Philippines Typhoon Rai Emergency Response,"Continent: Asia, Country: Philippines, City: Not specified (generate: Tacloban City)",GOAL 3. Good Health and Well-being,1. Traditional Philanthropy,"[x] $562,000 USD (converted from €500K)","[x] $562,000 USD (converted from €500K)",[x] $0 USD,Per project,[x] February 2022,[x] February 2023,100%,Closed,[x] Médecins Sans Frontières (MSF) - 100%,[x] Dr. Maria Lopez,[x] Global Disaster Consulting Services,Reduce mortality and morbidity rates by 50% within the affected area by end of project,Strong local partnerships enhancing effective response,Limited access to remote areas,Opportunity to implement long-term health improvement programs,Potential for recurring natural disasters disrupting recovery efforts,"Significant progress in immediate response, challenges remain in access to remote locations",8/10,7/10,9/10,8/10,7/10,Overall positive feedback on the emergency response; recommend more robust communication strategies,Consideration needed for long-term sustainability and preparedness plans,Johnathon Clarke,"June 25, 2024",response@globaldisasterconsulting.org,"The IKEA Foundation provided an exceptional donation to the Médicins Sans Frontières' emergency fund for their operations to help people in the Philippines recover from Typhoon Rai, which hit the country at the end of 2021.",2022-02-01,2026-07-01
Donation: G7 Impact Taskforce [x],"Continent: Global, Country: N/A, City: N/A",GOAL 17. Partnerships to achieve the Goal,Impact Investing,"$275,000 USD [x]","$270,000 USD [x]","$5,000 USD [x]",Per request,February 2022 [x],February 2024,20%,Open,Global Steering Group for Impact Investment (GSG) - 80% contribution [x],John Smith,Impact Consulting Ltd.,Increase the number of impact investment initiatives by 50% within two years,Strong global network and partnerships,Dependence on limited funding sources,Expansion into emerging markets,Economic instability affecting investments,"Positive progress, though funding challenges persist",8/10,7/10,9/10,8/10,7/10,"Generally satisfied, but communication with stakeholders needs improvement",,Emily Johnson,"June 1, 2024",john.smith@impactconsulting.com,The G7 Impact Taskforce worked to attract private funding and financial innovation towards investments that benefit people and planet. The IKEA Foundation supported the taskforce to effectively apply large-scale financing to today’s most pressing issues.,2022-02-01,2023-11-01
Universal Energy Facility [x],,GOAL 7. Affordable and Clean Energy,Grant,$5.14 million USD [x],$5.09 million USD [x],"$50,000 USD [x]",Per project,January 2022 [x],December 2024,80%,Open,Sustainable Energy for All [x],"Generate a plausible name, such as ""John Doe""","Generate a plausible company, such as ""Green Energy Consulting Ltd.""",Increase access to renewable energy for 1 million people in underserved communities by the end of 2024,Strong partnership with local governments and communities,Dependency on continued funding to maintain operations,Expanding into other regions with similar energy needs,Political instability in certain areas could impede progress,"""Progress is on track, but we need to ensure consistent funding to meet our objectives.""",8 out of 10,7 out of 10,9 out of 10,8 out of 10,7 out of 10,"""Overall, partners are satisfied with the progress, though there are areas for improvement in strategy and communication.""","""Continued efforts are needed to secure funding and address operational challenges.""","Generate a plausible author's name, such as ""Emily Smith""","June 25, 2024","Generate a plausible email address, such as ""info@universalenergyfacility.org""","The IKEA Foundation is supporting Sustainable Energy for All (SEforALL) to scale up the Universal Energy Facility, a grant programme designed to rapidly connect families and businesses in Africa to renewable energy.",2022-01-01,2026-08-01
"Regenerative, Circular and Inclusive Radio Program [x]","Continent: Africa, Country: Uganda, City: Kampala","GOAL 9. Industry, Innovation and Infrastructure",Corporate Social Responsibility (CSR),"$1,150,000 USD [x]","$870,000 USD [x]","$280,000 USD [x]",Scheduled,January 2022 [x],December 2023,35%,Open,Farm Radio International (100%) [x],John Doe,Global Development Consultants LLC,"Enhance the agricultural knowledge and technology access for 500,000 farmers through radio broadcasts.",Strong engagement with local communities.,Limited technology infrastructure.,Expansion to other regions within Uganda.,Potential regulatory changes affecting broadcasts.,"Project is well-received, but requires upgrades in broadcasting equipment for broader reach.",8/10,7/10,9/10,7/10,8/10,"Positive feedback on the program's impact, suggestions for more interactive sessions.",Consider partnerships with tech companies to improve infrastructure.,Emily Watson,"June 10, 2023",projectsupport@farmradio.org,The IKEA Foundation is supporting Farm Radio International to build capacity of community radio stations in rural Uganda to share practical information and knowledge about regenerative agriculture with farmers.,2022-01-01,2024-07-01
Climate Breakthrough Project [x],,GOAL 13. Climate Action,5. Venture Philanthropy,$3.11 Million USD [x],$3.08 Million USD [x],"$30,000 USD [x]",Scheduled,January 2022 [x],December 2024,10%,Open,Climate Breakthrough [x],James Thompson,Green Innovations Ltd.,Increase the adoption of renewable energy by 25% in targeted regions,Innovative approach to tackling climate change,Dependency on technology advancements,Potential for large-scale impact on global carbon emissions,Political instability in some regions could affect project implementation,"""Project shows promising approach but needs to address technological dependencies.""",8/10,7/10,9/10,8/10,7/10,"""Overall, partners are satisfied but suggest improvements in communication strategies.""","""Consider exploring additional funding avenues to ensure project sustainability.""",Sarah Johnson,"June 20, 2024",info@climatebreakthrough.org,"The Climate Breakthrough Project gives talented climate leaders the time, space and financial support to create and implement bold solutions that radically cut greenhouse gas emissions. This partnership is supporting more climate leaders to scale up their ideas and measure their impact.",2022-01-01,2024-06-01
Strengthening Regenerative Agriculture in Kenya [x],,GOAL 2. Zero Hunger,Corporate Social Responsibility (CSR),USD 4.41 million [x],USD 1.56 million [x],USD 2.85 million [x],Per project,January 2022 [x],December 2024,25%,Open,AGRA (100%) [x],Michael Ouma,Green Horizons Consulting,"Increase in crop yield by 30%, reduction in soil degradation by 20%",Strong local partnerships and community support,Dependency on seasonal weather conditions,Expansion to other regions and integration with technology for precision farming,Potential political instability affecting project continuity,Progress is on track but monitoring weather patterns is suggested to mitigate risks.,4.5/5,4.6/5,4.7/5,4.3/5,4.4/5,Partners and stakeholders are highly satisfied with the transparency and efficiency of project management.,The need for enhanced technology use in monitoring and reporting was noted.,Jonathan Smith,"June 25, 2024",j.smith@agrakenya.org,"The partnership between the IKEA Foundation and AGRA will help smallholder farmers in Kenya diversify the crops they grow, find new income streams and adopt regenerative farming practices that improve soil health.",2022-01-01,2024-10-01
Global Energy Alliance for People and Planet [x],Continent - Various; Country - Global; City - Various,GOAL 7. Affordable and Clean Energy,Corporate Social Responsibility (CSR),$99 million USD [x],$98.5 million USD [x],$0.5 million USD [x],Scheduled,December 2021 [x],December 2026,75%,Open,Global Energy Alliance for People and Planet [x],John Doe,Green Energy Consulting Firm,Increase global access to clean and affordable energy by 30%,Strong partnership with global stakeholders,High dependency on donor funding,Expansion into emerging markets,Regulatory changes in energy sectors,"Project on track, minor delays due to global logistics",8/10,7/10,9/10,8/10,7/10,"Good collaboration, needs improvement in communication",Consider more local partners in future expansions,Emily Roberts,2024-06-25,info@globalenergyalliance.org,"The Global Energy Alliance for People and Planet works in partnership with countries across Africa, Asia, Latin America and the Caribbean to reduce greenhouse gas emissions and enable a sustainable energy future for people who need it most. The IKEA Foundation is an anchor partner because we believe that tackling climate change and energy poverty go hand in hand with sustainable job creation.",2021-12-01,2026-02-01
Joint Data Center on Forced Displacement [x],"Global Programs (Global - no specific continent, country, or city)",GOAL 10. Reduced Inequality,Corporate Social Responsibility (CSR),1.06 million USD [x],1.07 million USD [x],0 USD [x],Per project,November 2021 [x],November 2024,100%,Closed,"UNHCR, the UN Refugee Agency [x]",Jane Doe,Global Data Consulting LLC,Improve data collection and analysis on global forced displacement to inform better policy decisions.,Strong partnership with UNHCR and extensive global reach.,Dependence on continuous funding to sustain operations.,Expanding research to include more areas affected by displacement.,Potential political instability in key research areas.,"The project is on track to meet its objectives, though it requires careful monitoring of geopolitical situations.",8/10,9/10,9/10,7/10,8/10,Partners and stakeholders are generally satisfied with the project's progress and communication.,Need to explore more sustainable funding models for future phases.,Michael Smith,"June 25, 2024",info@globaldataconsulting.com,"The Joint Data Center on Forced Displacement has been set up by UNHCR, the UN Refugee Agency and the World Bank to improve data on refugees so that governments and humanitarian organisations can make informed decisions about how best to meet their needs. The IKEA Foundation is supporting the Joint Data Center because we believe it will help refugees have a better everyday life.",2021-11-01,2024-09-01
[x] Unconditional cash transfers to refugees in Nairobi,"[x] Continent: Africa, Country: Kenya, City: Nairobi",GOAL 1. No Poverty,1. Traditional Philanthropy,"[x] $1,050,000 USD (Conversion of 945.65K€ using current exchange rates)","[x] $1,073,000 USD (Conversion of 964.86K€ using current exchange rates)",[x] $0 USD (Fully funded as the amount funded exceeds the total budget),Scheduled,[x] November 2021,November 2023,75%,Closed,[x] GiveDirectly (100%),Michael Omondi,East Africa Consulting Services,Improve living standards for 500 refugee families in Nairobi,Effective direct transfer system that ensures funds reach beneficiaries,Dependency on continuous funding to sustain the program,Potential to scale the project to other regions with high refugee populations,Political instability could affect the distribution of funds,The project has shown significant improvements in the welfare of the beneficiaries.,8/10,9/10,8/10,7/10,7/10,Partners express high satisfaction with transparency and impact of the project.,Consideration for additional funding to expand the project scope is underway.,Jane Doe,"June 1, 2024",info@ikeafoundation.org,"The IKEA Foundation is supporting GiveDirectly to deliver unconditional cash transfers to 1,000 urban refugees living in Nairobi to enable them to invest in sustainable livelihoods. The transfers will be made via Equity Bank in a pilot programme to test the feasibility of this model.",2021-11-01,2025-01-01
[x] Kenya PURE programme design,"Continent - Africa, Country - Kenya, City - Nairobi",GOAL 7. Affordable and Clean Energy,3. Corporate Social Responsibility (CSR),"[x] $812,650 USD (converted from €812.65K)","[x] $834,210 USD (converted from €834.21K)",[x] $0 USD (since the amount funded exceeds the total budget),Per project,[x] November 2021,November 2024,75%,Closed,[x] CLASP (100%),John Doe,Global Energy Solutions Ltd.,Increase access to clean energy by 25% in the target area by the end of 2024.,Strong partnerships and community engagement,Limited scalability due to funding constraints,Potential for replication in other regions of Kenya,Political instability could impact project deliverables,Project is on track but needs to focus on risk mitigation strategies concerning political influences,8/10,7/10,9/10,8/10,7/10,"Partners are satisfied with the progress, though communication timelines could be improved.",Consider leveraging additional funding to scale the project post-2024.,Jane Smith,2024-05-15,kenya_pure_program@clasp.org,CLASP and the IKEA Foundation are working together to design a programme that will boost the livelihoods and resilience of farmers in Kenya through the productive use of renewable energy (PURE).,2021-11-01,2023-07-01
[x] Create an enabling environment for refugee economic inclusion,,GOAL 1. No Poverty,3. Corporate Social Responsibility (CSR),[x] $1.49M USD,[x] $1.54M USD,[x] $0 USD (fully funded),Scheduled,[x] November 2021,November 2023,75%,Closed,"[x] UNHCR, the UN Refugee Agency (100% contribution)",John Doe,Global Impact Consulting,Increase self-reliance of refugees by 30% by end of the project,Strong partnership with global agencies,Limited local governmental support,Expansion to other regions to help more refugees,Political instability in target countries,"Significant progress in initial stages, though some delays due to logistical challenges.",8/10,7/10,9/10,8/10,7/10,Partners express high satisfaction with the clarity and frequency of communications but desire faster implementation.,Continued monitoring required to assess long-term impact effectively.,Michael Smith,2024-06-25,info@refugee-support.org,"The IKEA Foundation and UNHCR are working together to enable refugees’ economic inclusion and create a positive narrative surrounding refugees through advocacy, communications and strategic engagement.",2021-11-01,2026-09-01
[x] Delivering Resilient Enterprises and Market Systems,"Continent - Africa, Country - Ethiopia, City - Addis Ababa",GOAL 8. Decent Work and Economic Growth,3. Corporate Social Responsibility (CSR),"[x] $7,317,000 USD (Converted from €6.53M)","[x] $757,000 USD (Converted from €676.87K)","[x] $6,560,000 USD",Per project,[x] November 2021,November 2024,10%,Open,"[x] Village Enterprise, contributed 90%",Michaela Tesfaye,Addis Consulting Group,Increase local enterprise productivity by 30% by 2024,Strong community engagement and local knowledge,Limited access to advanced technology,Expansion to other regions within Ethiopia,Political instability potentially affecting project consistency,"Good progress on initial stages, however, monitoring and adaptation to local conditions advised",75%,80%,85%,70%,78%,"Partners are responsive and committed, but internal processes require streamlining for better efficiency",Consider increasing technology training for local enterprises to sustain growth,Selamawit Gebre,"June 15, 2024",info@villageenterprise.org,"The IKEA Foundation is partnering with Village Enterprise to support refugees in Ethiopia to set up small businesses and link them with market opportunities. By studying how this solution boosts local economies, it aims to transform how humanitarian organisations support refugees around the world.",2021-11-01,2024-11-01
Donation: Refugee Participation in 2021 Africa Private Sector Forum [x],"Continent: Africa, Country: Kenya, City: Nairobi",GOAL 10. Reduced Inequality,Traditional Philanthropy,"$17,470 USD [x]","$17,640 USD [x]",$0 USD [x],Per project,"November 1, 2021 [x]","December 31, 2021",100%,Closed,"UNHCR, the UN Refugee Agency [x]",John Doe,Global Development Consulting Inc.,Increase refugee participation in private sector discussions by 25%,Strong partnership with UNHCR,Limited time frame for execution,Opportunity to influence private sector policies,Political instability in the region,"The project was successful in meeting its objectives, though challenges were faced due to external factors.",8/10,8/10,9/10,7/10,8/10,"Overall satisfaction was high, with partners particularly pleased.",Consider extending project duration for future initiatives.,Jane Smith,"June 1, 2022",info@globaldevconsulting.com,"The 2021 Africa Private Sector Forum on Forced Displacement in Kigali, Rwanda, brought together businesses from all over Africa to identify what they can do to support refugees. The IKEA Foundation supported UNHCR with additional funding to bring representatives from refugee communities to engage in the forum.",2021-11-01,2025-04-01
[x] Donation: Supporting participant access for COP26,"Continent: Global, Country: Various, City: Various",GOAL 13. Climate Action,1. Traditional Philanthropy,"[x] 370,000 USD (equivalent of 370K€)","[x] 370,000 USD (equivalent of 370K€)",[x] 0 USD,Scheduled,[x] November 2021,November 2022,100%,Closed,[x] United Nations Framework Convention on Climate Change (100%),Johnathan Smith,Global Climate Solutions Ltd.,Increase global participation in COP26 by 20%,Enhanced global collaboration and awareness,Limited reach in remote areas,Potential for broader impact through virtual platforms,Political instability affecting participation in certain regions,Successful implementation with significant increase in participation.,8/10,8/10,9/10,7/10,8/10,Overall positive feedback with suggestions for increased digital engagement.,Consider expanding reach for future conventions.,Sarah Johnson,"June 15, 2023",sjohnson@globalclimatesolutions.com,The IKEA Foundation supported the United Nations Framework Convention on Climate Change (UNFCCC) to bring eligible delegates from lower income and small island nations to participate in COP26 in person. This was to make sure that countries that are already experiencing the impacts of climate change were represented at the conference and included in decision-making.,2021-11-01,2022-08-01
[x] Create an enabling environment for refugee economic development,"Continent: Global, Country: Various, City: Various",GOAL 1. No Poverty,3. Corporate Social Responsibility (CSR),[x] $1.49 million USD,[x] $1.54 million USD,[x] $0 USD (fully funded),Per project,[x] November 2021,November 2024,50%,Closed,"[x] UNHCR, the UN Refugee Agency",John Doe,Global Economic Development Consulting,Enhance the economic opportunities for refugees in various regions,Strong partnership with UNHCR and support from IKEA Foundation,Logistic challenges due to global scale,Expansion of the project to more regions as more funding becomes available,Political instability in some of the target countries,"The project has seen significant progress in its initial stage, despite some logistic challenges.",8/10,7/10,9/10,7/10,8/10,"Overall, partners and stakeholders are satisfied with the project's progress and communication.",Continued monitoring and adaptive strategies are recommended to address the logistic issues.,Emily Johnson,2024-06-25,emily.johnson@ikeafoundation.org,"The IKEA Foundation and UNHCR are working together to enable refugees’ economic inclusion and create a positive narrative surrounding refugees through advocacy, communications and strategic engagement.",2021-11-01,2026-02-01
Delivering resilient enterprises and market systems [x],Continent: Africa; Country: Ethiopia; City: Not specified (generated plausible city: Addis Ababa),GOAL 8. Decent Work and Economic Growth,Traditional Philanthropy,6.53 million USD [x],"676,870 USD [x]",5.85 million USD [x],Scheduled,November 2021 [x],November 2024 (generated plausible end date),35% (generated plausible percentage),Open,Village Enterprise [x],Daniel Abebe (generated plausible manager's name),East African Development Consulting (generated plausible consultant's name/company),Increase sustainable employment by 25% in targeted communities,Strong local partnerships,Limited access to local infrastructure,Expand into neighboring countries,Political instability,"Progress is on track, with some minor delays due to local regulations.",8/10 (generated plausible ranking),7/10 (generated plausible ranking),9/10 (generated plausible ranking),7/10 (generated plausible ranking),8/10 (generated plausible ranking),"Partners express high satisfaction with collaboration, though some communication delays noted.",Considering expansion of project scope due to initial success.,Sarah Mensah (generated plausible author's name),"June 15, 2024 (generated plausible date)",info@eastafdevconsult.com (generated plausible email address),"The IKEA Foundation is partnering with Village Enterprise to support refugees in Ethiopia to set up small businesses and link them with market opportunities. By studying how this solution boosts local economies, it aims to transform how humanitarian organisations support refugees around the world.",2021-11-01,2025-03-01
[x] Donation: Refugee participation in 2021 Africa Private Sector Forum on Forced Displacement,"Continent: Africa, Country: Kenya, City: Nairobi",GOAL 16. Peace and Justice Strong Institutions,Traditional Philanthropy,"[x] $19,000 USD (converted from €17.47K)","[x] $19,200 USD (converted from €17.64K)",[x] $0 USD (as total paid exceeds the budget),Per project,"[x] November 1, 2021","December 1, 2021",45%,Closed,"[x] UNHCR, the UN Refugee Agency (100%)",John Doe,Global Aid Consulting Ltd.,Increase refugee participation by 30% in private sector forums,Strong partnership with UNHCR,Limited funding to expand the program,Potential to replicate the forum in other regions,Political instability in the region,The project achieved its main objectives despite some logistical challenges.,8/10,7/10,9/10,8/10,7/10,"Partners and participants are generally satisfied, though some improvement in communication is needed.",Consider securing additional funding for future forums to ensure broader impact.,Emily Thompson,"June 25, 2024",emily.thompson@globalaidconsulting.com,"The 2021 Africa Private Sector Forum on Forced Displacement in Kigali, Rwanda, brought together businesses from all over Africa to identify what they can do to support refugees. The IKEA Foundation supported UNHCR with additional funding to bring representatives from refugee communities to engage in the forum.",2021-11-01,2024-06-01
Donation: Supporting participant access for COP26 [x],"Continent: Global, Country: Global, City: N/A",GOAL 13. Climate Action,Traditional Philanthropy,"$429,000 USD [x] (Converted from €370K at an exchange rate of 1.16)","$429,000 USD [x] (Converted from €370K at an exchange rate of 1.16)",$0 USD [x],Per project,November 2021 [x],December 2021,100%,Closed,United Nations Framework Convention on Climate Change [x],John Doe,Global Climate Consulting Inc.,Increase global participation in COP26 by 30%,Strong partnership with UN and global reach,Limited time frame for project execution,Enhance visibility and influence in global climate discussions,Potential logistical issues due to diverse global participation,Successfully met the target participant number; consider extending project duration in future initiatives,8/10,8/10,9/10,7/10,7/10,"Effective collaboration and coordination, though some communication delays were noted","Overall, a successful initiative with impactful outcomes for global climate action discussions",Emily Thompson,2022-11-30,climateaction@ikeafoundation.org,The IKEA Foundation supported the United Nations Framework Convention on Climate Change (UNFCCC) to bring eligible delegates from lower income and small island nations to participate in COP26 in person. This was to make sure that countries that are already experiencing the impacts of climate change were represented at the conference and included in decision-making.,2021-11-01,2025-08-01
Green Transformation Pathways India [x],Continent: Asia; Country: India; City: Mumbai,GOAL 13. Climate Action,Corporate Social Responsibility (CSR),"1,000,000 USD [x]","744,720 USD [x]","255,280 USD [x]",Scheduled,"November 1, 2021 [x]","November 1, 2024",45%,Open,Stichting Aidenvironment (66%) [x],Rajesh Khanna,Green Innovations Pvt Ltd.,"Reduction of CO2 emissions by 25%, Increase in use of renewable energy resources by 40%",Strong partnerships with local government and NGOs,Dependence on regulatory changes,Potential for scalability and replication in other regions,Political instability could affect project continuity,The project is progressing well with significant support from local partners; some delays due to regulatory approvals.,8/10,7/10,9/10,8/10,7/10,"Partners and stakeholders are satisfied with the communication and organization, though some improvements in strategy alignment are needed.",Additional funding strategies are being considered to ensure the project's financial sustainability.,Anil Gupta,2024-06-25,contact@greenpathwaysindia.org,"The Green Transformation Pathways Program will empower women in rural India to improve both their livelihoods and the natural environment by supporting a transition to regenerative, circular and inclusive food and land use systems. The IKEA Foundation is supporting this programme to enable families to afford a better life while protecting the planet.",2021-11-01,2025-11-01
"[x] ""Accelerating food system transformation through agroecology""","Continent: Africa, Country: Kenya, City: Nairobi; Continent: Asia, Country: India, City: Mumbai",GOAL 2. Zero Hunger,4. Community Investing,"[x] $3,060,000 USD","[x] $1,960,000 USD","[x] $1,100,000 USD",Per project,[x] November 2021,November 2024,15%,Open,"[x] AgroEcology Fund (50%), Ikea Foundation (50%)",John Doe,Global Agro Solutions LLC,Increase sustainable farming practices by 40% in target areas,Strong local partnerships,Limited access to modern technology,Expansion to other regions with similar agricultural profiles,Potential political instability affecting project continuity,Significant progress in engaging local communities; need to focus on technology integration,8/10,7/10,9/10,8/10,7/10,Partners are satisfied with the collaboration but suggest more frequent updates,Consider exploring additional funding to integrate technology faster,Jane Smith,2024-06-01,info@agroecologyfund.org,The partnership between the AgroEcology Fund and the IKEA Foundation will advocate for and build evidence to show how farmers can improve and secure their livelihoods through agroecology - the use of sustainable farming practices that enhance soil health and the natural environment.,2021-11-01,2026-08-01
Circular entrepreneurship and sustainable models in Asia [x],"Continent - Asia, Country - India, City - Mumbai",GOAL 12. Responsible Consumption and Production,5. Venture Philanthropy,"$830,000 USD [x]","$600,000 USD [x]","$230,000 USD [x]",Per project,"November 1, 2021 [x]","October 31, 2024",30%,Open,IKEA Foundation [x],Anika Patel,Green Innovations Ltd.,Increase circular business initiatives by 50% by end of project,Strong partnership with local entrepreneurs,Limited reach in rural areas,Expansion into new Asian markets,Regulatory changes affecting business models,Progress is on track but needs more aggressive marketing strategies.,8/10,7/10,9/10,8/10,7/10,"Positive feedback on engagement, some concerns about timely communication.",Need to focus on long-term sustainability post-funding period.,Dr. Rajesh Singh,"June 15, 2024",anika.patel@dharmalife.org,"Dharma Life and the IKEA Foundation are working together to support women artisans in rural India to create small enterprises or gain employment in the textile sector, preserving traditional skills and contributing to a green economy through planet-friendly business practices.",2021-11-01,2025-08-01
